node,in_strength,out_strength,pagerank,betweenness,eigenvector,closeness,pagerank_norm,in_strength_norm,out_strength_norm,eigenvector_norm,community,role_z,role_P,out_entropy,local_reciprocity,out_2step,in_2step
Malta,5,5,0.010626924049745483,0.0,0.00015264227880299863,0.04513931888544891,0.11613675413241116,0.01824817518248175,0.013368983957219251,0.00017926491332466557,0,-0.2806188525925636,0.2777777777777777,0.9609640471551423,0.5,62,8
Mexico,14,0,0.008605956602096117,0.0,0.09198974898363342,0.08028545941123996,0.05276484405964353,0.051094890510948905,0.0,0.10803385868990861,0,-0.17278278696747362,0.13265306122448983,0.0,0.0,0,25
Namibia,3,0,0.007164715693592054,0.0,0.01659186228620897,0.08507867607162234,0.007571543517793464,0.010948905109489052,0.0,0.019485681018106025,0,-0.30757786899883605,0.0,0.0,0.0,0,22
Luxembourg,0,1,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.00267379679144385,0.0,2,-0.6833347476931274,0.0,0.0,0.0,33,0
Argentina,11,0,0.010416075236743792,0.0,0.031192466844552968,0.07712739793408754,0.10952512264273302,0.040145985401459854,0.0,0.0366328052039108,4,-0.9166666666666667,0.7107438016528926,0.0,0.0,0,27
Chile,17,0,0.00959375191809278,0.0,0.11794025747645866,0.11842105263157894,0.08373935382151591,0.06204379562043796,0.0,0.13851044546637598,0,-0.1593032787643374,0.31141868512110726,0.0,0.0,0,29
Pakistan,1,0,0.007096504039114717,0.0,0.00016250536478532973,0.06447368421052631,0.0054326160261704065,0.0036496350364963502,0.0,0.00019084823917384422,1,-0.7796248594086865,0.0,0.0,0.0,0,9
Réunion,1,0,0.007096504039114717,0.0,0.00016250536478532973,0.06447368421052631,0.0054326160261704065,0.0036496350364963502,0.0,0.00019084823917384422,1,-0.7796248594086865,0.0,0.0,0.0,0,9
Suriname,1,0,0.007096504039114717,0.0,0.00016250536478532973,0.06447368421052631,0.0054326160261704065,0.0036496350364963502,0.0,0.00019084823917384422,1,-0.7796248594086865,0.0,0.0,0.0,0,9
Greenland,1,0,0.007480503699361875,0.0,0.001070670628206831,0.09272619751626256,0.01747377580113888,0.0036496350364963502,0.0,0.001257408359400045,2,-0.6833347476931274,0.0,0.0,0.0,0,15
South Africa,7,0,0.008267011060965408,0.0,0.04307274861085418,0.10580296896086369,0.04213645596903655,0.025547445255474453,0.0,0.05058514984793451,0,-0.2806188525925636,0.44897959183673464,0.0,0.0,0,25
Slovakia,0,6,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.016042780748663103,0.0,1,-0.5985974152735426,0.5,0.9999999996651334,0.0,54,0
Cape Verde,1,0,0.007029000288384633,0.0,0.008271579581750144,0.09272619751626256,0.0033158864243071685,0.0036496350364963502,0.0,0.009714241744872218,0,-0.33453688540510856,0.0,0.0,0.0,0,22
Falkland Islands,3,0,0.007240491421157255,0.0,0.024814738745250434,0.056914700544464604,0.009947659272921452,0.010948905109489052,0.0,0.029142725234616657,0,-0.30757786899883605,0.0,0.0,0.0,0,22
French Polynesia,1,0,0.007029000288384633,0.0,0.008271579581750144,0.09272619751626256,0.0033158864243071685,0.0036496350364963502,0.0,0.009714241744872218,0,-0.33453688540510856,0.0,0.0,0.0,0,22
Guatemala,2,0,0.007134745854770945,0.0,0.016543159163500288,0.07053531264057579,0.006631772848614337,0.0072992700729927005,0.0,0.019428483489744436,0,-0.3210573772019723,0.0,0.0,0.0,0,22
Honduras,1,0,0.007029000288384633,0.0,0.008271579581750144,0.09272619751626256,0.0033158864243071685,0.0036496350364963502,0.0,0.009714241744872218,0,-0.33453688540510856,0.0,0.0,0.0,0,22
Japan,1,0,0.007029000288384633,0.0,0.008271579581750144,0.09272619751626256,0.0033158864243071685,0.0036496350364963502,0.0,0.009714241744872218,0,-0.33453688540510856,0.0,0.0,0.0,0,22
Mauritania,9,0,0.007874964819475125,0.0,0.0744442162357513,0.026366235076509162,0.029842977818764407,0.032846715328467155,0.0,0.08742817570384998,0,-0.2267008197800186,0.0,0.0,0.0,0,22
Mauritius,3,0,0.007240491421157255,0.0,0.024814738745250434,0.056914700544464604,0.009947659272921452,0.010948905109489052,0.0,0.029142725234616657,0,-0.30757786899883605,0.0,0.0,0.0,0,22
Oman,1,0,0.007029000288384633,0.0,0.008271579581750144,0.09272619751626256,0.0033158864243071685,0.0036496350364963502,0.0,0.009714241744872218,0,-0.33453688540510856,0.0,0.0,0.0,0,22
Panama,3,0,0.007461692407450463,0.0,0.016543159163500288,0.07239150507848567,0.016883906082678465,0.010948905109489052,0.0,0.019428483489744436,0,-0.3210573772019723,0.4444444444444444,0.0,0.0,0,22
Papua New Guinea,3,0,0.007240491421157255,0.0,0.024814738745250434,0.056914700544464604,0.009947659272921452,0.010948905109489052,0.0,0.029142725234616657,0,-0.30757786899883605,0.0,0.0,0.0,0,22
Solomon Islands,3,0,0.007240491421157255,0.0,0.024814738745250434,0.056914700544464604,0.009947659272921452,0.010948905109489052,0.0,0.029142725234616657,0,-0.30757786899883605,0.0,0.0,0.0,0,22
Tanzania,1,0,0.007029000288384633,0.0,0.008271579581750144,0.09272619751626256,0.0033158864243071685,0.0036496350364963502,0.0,0.009714241744872218,0,-0.33453688540510856,0.0,0.0,0.0,0,22
Switzerland,0,18,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.0481283422459893,0.0,1,-0.41756997113839867,0.7469135802469136,0.9655108352691251,0.0,77,0
Australia,1,0,0.007382815694204471,0.0,0.0009049673389644777,0.07177033492822966,0.014410552053906532,0.0036496350364963502,0.0,0.0010628044395910405,3,-0.5624551632058592,0.0,0.0,0.0,0,10
Nigeria,2,0,0.00784237666641062,0.0,0.0018099346779289554,0.05847953216374269,0.02882110410781301,0.0072992700729927005,0.0,0.002125608879182081,3,-0.42853726720446417,0.0,0.0,0.0,0,10
